author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Alpha Star Properties,real_estate_agent,https://www.cian.ru/sale/flat/315745436/,Москва,sale,flat,25,61,1,60.0,-1,0,75000000,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити,Capital Towers
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/313640113/,Москва,sale,flat,6,41,1,40.1,-1,0,35500000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Татьяна Серебрякова,realtor,https://www.cian.ru/sale/flat/314672030/,Москва,sale,flat,14,16,1,40.0,-1,0,12700000,Марьино,Новомарьинская ,16К1,Братиславская,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/317810772/,Москва,sale,flat,13,41,1,43.1,-1,0,21500000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/317331040/,Москва,sale,flat,19,41,1,43.0,-1,0,31900000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/317463756/,Москва,sale,flat,2,17,1,41.9,-1,0,8600000,Косино-Ухтомский,Лухмановская ,15к4,Лухмановская,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/317021340/,Москва,sale,flat,11,41,1,48.0,-1,0,44900000,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/316324230/,Москва,sale,flat,2,8,1,60.0,-1,0,75000000,Таганский,Тессинский переулок,1,Чкаловская,"Тессинский, 1"
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/315866196/,Москва,sale,flat,2,27,1,38.5,-1,0,20150000,Лефортово, Крузенштерна,9,Авиамоторная,Символ
Тимур Ярыш,realtor,https://www.cian.ru/sale/flat/315752969/,Москва,sale,flat,21,43,1,33.8,-1,0,22000000,Раменки, Василия Ланового,1к2,Аминьевская,Огни
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/317719488/,Москва,sale,flat,11,12,1,61.3,-1,0,42900000,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
Алексей Рыбаков,realtor,https://www.cian.ru/sale/flat/316064725/,Москва,sale,flat,1,5,1,31.4,-1,0,9250000,Измайлово,Измайловский проезд,6К2,Измайловская,
